Dtype,l,Method,Run,Runtime
float64,4096,sort,8,0.00018120208998880115
float32,1024,argsort,5,1.337950000015553e-05
float32,32768,sort,8,0.001878517416722995
float32,1024,sort,1,1.321083400034695e-05
float64,4,sort,5,2.6661999999851104e-06
float64,16,argsort,8,2.641566666655611e-06
float32,256,argsort,3,4.572187500343717e-06
float32,16384,argsort,5,0.0008626266800274607
float64,1024,argsort,5,2.5153999999020017e-05
float32,16384,argsort,8,0.0008718266799405683
float32,2048,sort,8,6.455521000134468e-05
float64,8192,sort,1,0.00039033749999362044
float64,4096,argsort,2,0.00017661500000031082
float64,16,sort,3,2.767526399960237e-06
float64,1024,argsort,8,1.3964499998110114e-05
float32,1024,sort,8,1.3283584001328563e-05
float64,8,argsort,4,2.5930666599742836e-06
float32,32,sort,3,2.82395419999375e-06
float32,1024,argsort,9,1.337625000087428e-05
float32,128,sort,7,3.6148668001260374e-06
float32,1024,sort,5,1.3546915997721953e-05
float32,64,sort,1,3.1460500000321188e-06
float64,32,sort,8,2.847875000043132e-06
float32,512,argsort,1,7.389708000118845e-06
float64,64,argsort,7,2.9409709000901783e-06
float32,32,sort,8,2.857200000016746e-06
float32,8,argsort,8,2.587332499970216e-06
float32,2048,argsort,6,2.8626040002563968e-05
float64,8192,sort,4,0.000388679179995961
float32,256,sort,8,4.8906250003710736e-06
float32,4,argsort,7,2.5604625000050875e-06
float64,256,sort,0,4.770812500282773e-06
float32,4096,sort,5,0.00016219791999901644
float32,8,argsort,1,2.6093558400316395e-06
float32,4096,argsort,7,0.00013650082999447477
float64,256,argsort,7,4.590354499669047e-06
float32,32,sort,4,2.8004916500321996e-06
float64,32,argsort,9,2.7452333499240923e-06
float32,4,sort,5,2.7053150000210737e-06
float32,128,sort,2,3.563608200056478e-06
float64,16,sort,8,2.712215266668257e-06
float64,8,argsort,3,2.6029666600152268e-06
float32,128,argsort,4,3.477750000092783e-06
float64,2048,argsort,5,5.3693749996455154e-05
float64,2048,argsort,0,6.489250000413449e-05
float32,512,sort,4,7.5661669998225985e-06
float64,8192,sort,7,0.0003940700000021025
float64,4096,argsort,5,0.00017810375000408386
float64,32,sort,2,2.8256312500161586e-06
float32,32,argsort,1,2.6764083499983825e-06
float32,512,argsort,5,7.482125000024098e-06
float32,2048,sort,7,3.524749999996857e-05
float32,4096,sort,7,0.0001388316699922143
float32,64,argsort,2,2.9868749999877766e-06
float64,128,argsort,5,3.3361750000040046e-06
float64,4096,argsort,6,0.00016968083000392653
float32,512,argsort,4,7.258917001308873e-06
float64,8,argsort,8,2.5995825000063634e-06
float32,32,sort,2,2.8245917000276675e-06
float64,2048,sort,7,6.179771000461187e-05
float64,8,argsort,5,2.5825925000026474e-06
float64,4,argsort,6,2.548099999985425e-06
float64,8192,argsort,2,0.00039184583998576274
float64,512,argsort,5,7.321666000279947e-06
float64,4,sort,8,2.6461691599979533e-06
float32,16384,sort,8,0.0008707549999962794
float64,512,argsort,1,7.31791699945461e-06
float32,16384,sort,3,0.0008600283199484693
float64,8,sort,0,2.704248340014601e-06
float64,8,argsort,6,2.5862016600149218e-06
float32,512,sort,1,7.581500000014785e-06
float64,16384,sort,9,0.0009035166800458683
float32,4096,sort,3,0.0001769395800147322
float32,8192,argsort,9,0.00041181168002367484
float64,8192,argsort,5,0.0004216183400058071
float32,8192,sort,7,0.0003758966800160124
float32,4096,sort,4,0.00014037290999112883
float64,4096,sort,2,0.00017346333999739726
float32,16,argsort,6,2.5866069333157307e-06
float64,512,sort,1,7.451000001310603e-06
float32,32,sort,7,2.8435125000214613e-06
float32,64,sort,7,3.1105207999644337e-06
float32,16,sort,5,2.7890055666527282e-06
float32,2048,argsort,0,2.8521249996629196e-05
float32,256,argsort,2,4.565312500744767e-06
float32,128,argsort,0,3.433500000028289e-06
float32,32768,sort,1,0.001909579833409225
float32,16384,sort,1,0.0008761583199520828
float32,16384,argsort,0,0.000873409999985597
float32,4096,sort,6,0.00015015584000138915
float32,32,argsort,7,2.737656249973952e-06
float64,2048,sort,8,5.19443749999482e-05
float64,4096,sort,6,0.00016681625000273926
float64,16384,sort,0,0.0008933833600167418
float64,256,argsort,4,4.658541999560839e-06
float64,32768,sort,2,0.001987833333259914
float64,32,argsort,4,2.6784041500832244e-06
float64,32768,sort,6,0.0019967222500175317
float64,16,sort,5,2.750652766674951e-06
float32,8,argsort,7,2.6155424999888054e-06
float64,1024,argsort,9,1.3674916001036764e-05
float64,128,argsort,0,3.3168415997351987e-06
float32,32,argsort,8,2.7217146000111827e-06
float64,4,argsort,3,2.568417500006035e-06
float32,4,argsort,6,2.5866183199832447e-06
float32,32,argsort,4,2.738543750001554e-06
float32,8,argsort,4,2.601389179981197e-06
float32,256,argsort,5,4.687416500019026e-06
float32,1024,argsort,1,1.3399584000580943e-05
float64,4096,argsort,9,0.00017354124998746555
float32,16,sort,7,2.7661972332983473e-06
float32,1024,argsort,7,1.3305249998666114e-05
float32,16,sort,8,2.770118066655414e-06
float32,8192,sort,1,0.00037069168000016363
float32,2048,argsort,7,4.5630204995177336e-05
float32,32768,argsort,0,0.0018934617499629287
float64,8,sort,7,2.655582500010496e-06
float64,2048,argsort,3,6.00635449973197e-05
float32,16,argsort,4,2.5624889000027905e-06
float64,8,sort,8,2.7297658199677244e-06
float32,64,argsort,3,2.950629200131516e-06
float64,16,argsort,6,2.657438866723775e-06
float32,4,argsort,5,2.572078320008586e-06
float32,64,sort,8,3.112283399968874e-06
float64,4,sort,1,2.6411708399973576e-06
float64,16,sort,2,2.7757819333298056e-06
float64,4,argsort,5,2.5929708399780793e-06
float32,2048,sort,5,2.9482915006155964e-05
float32,16,sort,6,2.7748972333332252e-06
float64,32768,argsort,6,0.0020441631666775115
float32,1024,sort,0,1.7494333998911315e-05
float32,4,sort,8,2.7551158200003556e-06
float64,16384,sort,8,0.000876588319952134
float32,1024,sort,7,1.3898500001232605e-05
float64,128,argsort,8,3.351583399853553e-06
