Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
ChlorineConcentration,166,Medium-short,moment_quant_approx,Classification (inference),0.10272566946635678,5.9198182463520705
ChlorineConcentration,166,Medium-short,moment_quant_approx,Classification (training),1.3647908235997117,78.64941316002289
ChlorineConcentration,166,Medium-short,moment_quant_approx,Transformation (inference),0.2282147722005902,13.151435075364407
ChlorineConcentration,166,Medium-short,moment_quant_approx,Transformation (training),0.039552913933584885,2.2793335182606227
ChlorineConcentration,166,Medium-short,moment_quant_exact,Classification (inference),0.10136488746672205,5.578948276428671
ChlorineConcentration,166,Medium-short,moment_quant_exact,Classification (training),1.3232863069002634,72.83139206884202
ChlorineConcentration,166,Medium-short,moment_quant_exact,Transformation (inference),0.2751274834001379,15.1425413441836
ChlorineConcentration,166,Medium-short,moment_quant_exact,Transformation (training),0.11713882073333172,6.4471183105457
ChlorineConcentration,166,Medium-short,quant,Classification (inference),0.101126649933091,5.296789330173088
ChlorineConcentration,166,Medium-short,quant,Classification (training),1.323936045900094,69.3448297396874
ChlorineConcentration,166,Medium-short,quant,Transformation (inference),0.4161207820334918,21.795482395556405
ChlorineConcentration,166,Medium-short,quant,Transformation (training),0.06802309293319311,3.5628985345831157
CinCECGTorso,1639,Long,moment_quant_approx,Classification (inference),0.028004318000845723,2.7108913306992446
CinCECGTorso,1639,Long,moment_quant_approx,Classification (training),0.30971555553284513,29.981276974905597
CinCECGTorso,1639,Long,moment_quant_approx,Transformation (inference),0.6477842611668165,62.707213141470014
CinCECGTorso,1639,Long,moment_quant_approx,Transformation (training),0.047525765233634304,4.600618552925157
CinCECGTorso,1639,Long,moment_quant_exact,Classification (inference),0.028581555599521326,1.4079343073647086
CinCECGTorso,1639,Long,moment_quant_exact,Classification (training),0.3364713665660626,16.574660493363073
CinCECGTorso,1639,Long,moment_quant_exact,Transformation (inference),1.5888886098005364,78.26903530599496
CinCECGTorso,1639,Long,moment_quant_exact,Transformation (training),0.07609321113341135,3.748369893277267
CinCECGTorso,1639,Long,quant,Classification (inference),0.03133743063323584,1.0648202830350493
CinCECGTorso,1639,Long,quant,Classification (training),0.33654178323316347,11.435414762287236
CinCECGTorso,1639,Long,quant,Transformation (inference),2.4828638612001668,84.36568493323422
CinCECGTorso,1639,Long,quant,Transformation (training),0.0922352972006289,3.134080021443487
Coffee,286,Medium-short,moment_quant_approx,Classification (inference),0.00482548753425358,3.7433305489937774
Coffee,286,Medium-short,moment_quant_approx,Classification (training),0.07389450133317339,57.3230253481354
Coffee,286,Medium-short,moment_quant_approx,Transformation (inference),0.02410644586561826,18.70036853185901
Coffee,286,Medium-short,moment_quant_approx,Transformation (training),0.026082500000241704,20.23327557101181
Coffee,286,Medium-short,moment_quant_exact,Classification (inference),0.004710969499380207,4.409564321934683
Coffee,286,Medium-short,moment_quant_exact,Classification (training),0.07964177636652793,74.54634033345911
Coffee,286,Medium-short,moment_quant_exact,Transformation (inference),0.0094207639008042,8.8180287280191
Coffee,286,Medium-short,moment_quant_exact,Transformation (training),0.013061750033132992,12.226066616587103
